NO,Tanggal,Kurs,Return
293,09/03/2017,13373,0.002470708
294,10/03/2017,13393,0.001494434
295,13/03/2017,13364,-0.002167658
296,14/03/2017,13360,-0.000299356
297,15/03/2017,13375,0.001122125
298,16/03/2017,13336,-0.002920147
299,17/03/2017,13342,0.000449809
300,20/03/2017,13329,-0.000974842
301,21/03/2017,13308,-0.001576754
302,22/03/2017,13335,0.002026799
303,23/03/2017,13332,-0.000224997
304,24/03/2017,13329,-0.000225048
305,27/03/2017,13314,-0.001125999
306,29/03/2017,13323,0.000675752
307,30/03/2017,13316,-0.000525545
308,31/03/2017,13321,0.000375418
309,03/04/2017,13324,0.000225183
310,04/04/2017,13326,0.000150094
311,05/04/2017,13329,0.000225098
312,06/04/2017,13327,-0.00015006
313,07/04/2017,13341,0.001049948
314,10/04/2017,13323,-0.001350135
315,11/04/2017,13282,-0.00308213
316,12/04/2017,13298,0.001203913
317,13/04/2017,13264,-0.00256005
318,17/04/2017,13255,-0.000678759
319,18/04/2017,13299,0.003314005
320,20/04/2017,13328,0.002178241
321,21/04/2017,13320,-0.00060042
322,25/04/2017,13296,-0.001803427
323,26/04/2017,13278,-0.001354708
324,27/04/2017,13299,0.001580314
325,28/04/2017,13327,0.002103208
326,02/05/2017,13316,-0.000825733
327,03/05/2017,13297,-0.001427874
328,04/05/2017,13330,0.002478688
329,05/05/2017,13339,0.000674941
330,08/05/2017,13324,-0.001125155
331,09/05/2017,13317,-0.000525506
332,10/05/2017,13355,0.002849432
333,12/05/2017,13340,-0.001123806
334,15/05/2017,13319,-0.001575453
335,16/05/2017,13298,-0.001577939
336,17/05/2017,13306,0.000601413
337,18/05/2017,13343,0.002776841
338,19/05/2017,13410,0.005008795
339,22/05/2017,13297,-0.008462251
340,23/05/2017,13296,-7.52078E-05
341,24/05/2017,13316,0.001503082
342,26/05/2017,13295,-0.001578295
343,29/05/2017,13312,0.001277859
344,30/05/2017,13336,0.001801261
345,31/05/2017,13321,-0.001125408
346,02/06/2017,13311,-0.000750976
347,05/06/2017,13287,-0.001804647
348,06/06/2017,13285,-0.000150534
349,07/06/2017,13307,0.001654633
350,08/06/2017,13316,0.000676107
351,09/06/2017,13292,-0.001803969
352,12/06/2017,13292,0
353,13/06/2017,13294,0.000150455
354,14/06/2017,13286,-0.000601956
355,15/06/2017,13282,-0.000301114
356,16/06/2017,13298,0.001203913
357,19/06/2017,13286,-0.000902799
358,20/06/2017,13297,0.000827597
359,21/06/2017,13301,0.000300774
360,22/06/2017,13319,0.001352367
361,03/07/2017,13325,0.000450383
362,04/07/2017,13386,0.004567415
363,05/07/2017,13349,-0.002767909
364,06/07/2017,13364,0.001123049
365,07/07/2017,13397,0.002466277
366,10/07/2017,13408,0.000820742
367,11/07/2017,13387,-0.001567457
368,12/07/2017,13368,-0.001420296
369,13/07/2017,13342,-0.001946837
370,14/07/2017,13347,0.000374686
371,17/07/2017,13313,-0.002550639
372,18/07/2017,13314,7.51117E-05
373,19/07/2017,13304,-0.000751371
